insect,slug,href,kind,river_count,fly_count,has_river,has_fly,gap,months,rivers,patterns,catalog_flies,window_flags
adult caddis,adult-caddis,/flies/hatch/adult-caddis,insect,0,6,no,yes,no_river,,,,elk-hair-caddis|goddard-caddis|humpy|leadwing-coachman|monster-dry|x-caddis,
adult stoneflies,adult-stoneflies,/flies/hatch/adult-stoneflies,insect,0,4,no,yes,no_river,,,,chernobyl-ant|humpy|muddler-minnow|stimulator,
amphipods,amphipods,/flies/hatch/amphipods,insect,0,1,no,yes,no_river,,,,scud-pattern,
anchor fly,anchor-fly,/flies/hatch/anchor-fly,insect,0,1,no,yes,no_river,,,,tungsten-torpedo,
annelids,annelids,/flies/hatch/annelids,insect,0,1,no,yes,no_river,,,,squirmy-wormy,
Ant,ant,/flies/hatch/ant,insect,8,4,yes,yes,,August|July,bitterroot-river-montana|blackfoot-river-montana|boulder-river-montana|clark-fork-river-montana|methow-river|river-gibbon|spokane-river|yakima-river,Foam Ant|Parachute Ant|Flying Ant|CDC Ant,chernobyl-ant|egans-bionic-ant-2|flying-ant|foam-ant,
Ants,ants,/flies/hatch/ants,insect,6,4,yes,yes,,July|August,kickapoo-river|pecos-river-new-mexico|selway-river-idaho|slough-creek-yellowstone|st-joe-river-idaho|white-river-arizona,"Parachute Ant|Flying Ant|Black Foam Ant|Flying Ant, Black Ant",chernobyl-ant|egans-bionic-ant-2|flying-ant|foam-ant,
Ants and Beetles,ants-and-beetles,/flies/hatch/ants-and-beetles,insect,2,5,yes,yes,,August,madison-river|rock-creek,"Fur Ant, Flying Ant, Foam Beetle, Crowe Beetle|Foam Beetle, Fur Ant",chernobyl-ant|egans-bionic-ant-2|flying-ant|foam-ant|foam-beetle,
Ants and Beetles (Upper WY),ants-and-beetles-upper-wy,/flies/hatch/ants-and-beetles-upper-wy,insect,1,3,yes,yes,,August,green-river,"Fur Ant, Foam Beetle",egans-bionic-ant-2|foam-ant|foam-beetle,
aquatic isopods,aquatic-isopods,/flies/hatch/aquatic-isopods,insect,0,1,no,yes,no_river,,,,sow-bug,
aquatic larvae,aquatic-larvae,/flies/hatch/aquatic-larvae,insect,0,1,no,yes,no_river,,,,woolly-worm,
aquatic worms,aquatic-worms,/flies/hatch/aquatic-worms,insect,0,3,no,yes,no_river,,,,mop-fly|san-juan-worm|squirmy-wormy,
ascending nymphs,ascending-nymphs,/flies/hatch/ascending-nymphs,insect,0,1,no,yes,no_river,,,,soft-hackle-pheasant-tail,
attractor,attractor,/flies/hatch/attractor,insect,0,20,no,yes,no_river,,,,adams|blowtorch|copper-john|duracell-jig|egans-rainbow-warrior-perdigon|egans-red-dart|egans-thread-frenchie|egans-tungsten-surveyor|humpy|jig-perdigon|lightning-bug|lite-brite-perdigon|mayday-mayfly|mike-komaras-walts-worm|perdigon|prince-nymph|rainbow-warrior|royal-wulff|rozas-pink-pheasant-tail|two-bit-hooker,
baetis,baetis,/flies/hatch/baetis,insect,0,22,no,yes,no_river,,,,barrs-emerger|blue-dun|blue-winged-olive-comparadun|bwo-loop-wing-emerger|bwo-parachute|callibaetis-cripple|cdc-blue-winged-olive|cdc-emerger|cdc-pheasant-tail|egans-iron-lotus|juju-baetis|lickety-split|micro-mayfly|olsen-quilldigon|parachute-adams|pheasant-tail-nymph|pliva-perdigon|rozas-pink-pheasant-tail|silver-bullet-baetis|snowshoe-baetis-emerger|super-simple-pheasant-tail|surveyor,
baetis duns,baetis-duns,/flies/hatch/baetis-duns,insect,0,8,no,yes,no_river,,,,blue-dun|blue-winged-olive-comparadun|bwo-parachute|callibaetis-cripple|cdc-blue-winged-olive|rozas-pink-pheasant-tail|super-simple-pheasant-tail|surveyor,
baetis emerger,baetis-emerger,/flies/hatch/baetis-emerger,insect,0,8,no,yes,no_river,,,,barrs-emerger|bwo-loop-wing-emerger|cdc-emerger|lickety-split|rozas-pink-pheasant-tail|super-simple-pheasant-tail|surveyor|tungsten-soft-hackle-hares-ear,
Baetis emergers,baetis-emergers,/flies/hatch/baetis-emergers,insect,0,8,no,yes,no_river,,,,barrs-emerger|bwo-loop-wing-emerger|cdc-emerger|lickety-split|rozas-pink-pheasant-tail|super-simple-pheasant-tail|surveyor|tungsten-soft-hackle-hares-ear,
baetis nymph,baetis-nymph,/flies/hatch/baetis-nymph,insect,0,11,no,yes,no_river,,,,cdc-pheasant-tail|egans-iron-lotus|juju-baetis|micro-mayfly|olsen-quilldigon|pheasant-tail-nymph|pliva-perdigon|rozas-pink-pheasant-tail|silver-bullet-baetis|super-simple-pheasant-tail|surveyor,
baetis nymphs,baetis-nymphs,/flies/hatch/baetis-nymphs,insect,0,11,no,yes,no_river,,,,cdc-pheasant-tail|egans-iron-lotus|juju-baetis|micro-mayfly|olsen-quilldigon|pheasant-tail-nymph|pliva-perdigon|rozas-pink-pheasant-tail|silver-bullet-baetis|super-simple-pheasant-tail|surveyor,
baitfish,baitfish,/flies/hatch/baitfish,forage,0,15,no,yes,no_river,,,,autumn-splendor|barely-legal|circus-peanut|clouser-minnow-trout|double-bunny|home-invader|kreelex|meat-whistle|muddler-minnow|olive-bugger|sculpzilla|sex-dungeon|slumpbuster|woolly-bugger|zonker,
Beetle,beetle,/flies/hatch/beetle,insect,1,4,yes,yes,,August,river-gibbon,Foam Beetle,black-spider|egans-bionic-ant-2|foam-beetle|leadwing-coachman,
Beetles,beetles,/flies/hatch/beetles,insect,2,4,yes,yes,,August,pecos-river-new-mexico|white-river-arizona,Foam Beetle,black-spider|egans-bionic-ant-2|foam-beetle|leadwing-coachman,
Black Caddis,black-caddis,/flies/hatch/black-caddis,insect,5,4,yes,yes,,May|April,boardman-river|brule-river-wisconsin|muskegon-river|nantahala-river|two-hearted-river,Black Elk Hair Caddis|Elk Hair Caddis,elk-hair-caddis|humpy|leadwing-coachman|monster-dry,
black terrestrial insects,black-terrestrial-insects,/flies/hatch/black-terrestrial-insects,insect,0,3,no,yes,no_river,,,,chernobyl-ant|egans-bionic-ant-2|letort-cricket,
Blue Quill,blue-quill,/flies/hatch/blue-quill,insect,1,0,yes,no,no_fly,April,elk-river-wv,Blue Quill Parachute,,
Blue-winged Olive,blue-winged-olive,/flies/hatch/blue-winged-olive,insect,99,12,yes,yes,,September|October|April|May|February|March|June|November|January|December|August|July,animas-river|arkansas-river-colorado|ausable-river-new-york|beaverhead-river-montana|beaverkill-river|big-spring-creek|big-wood-river-idaho|bighorn-river-montana|bighorn-river-wyoming|bitterroot-river-montana|blackfoot-river-montana|blue-river-colorado|boardman-river|boulder-river-montana|brule-river-wisconsin|cache-la-poudre-river|caney-fork-river|chattahoochee-river-ga|chattooga-river|chena-river|clark-fork-river-montana|clearwater-river-idaho|clinch-river-tennessee|colorado-river-colorado|cranberry-river-wv|cumberland-river-ky|davidson-river-nc|delaware-river-east-branch|delaware-river-west-branch|deschutes-river|eagle-river-colorado|elk-river-tennessee|elk-river-wv|fall-river-california|firehole-river|frying-pan-river|grande-ronde-river|green-river|guadalupe-river-texas|gunnison-river|hat-creek-california|henrys-fork|hiwassee-river|john-day-river|kickapoo-river|lamar-river-yellowstone|lees-ferry-arizona|letort-spring-run|lochsa-river-idaho|madison-river|mccloud-river|methow-river|metolius-river|muskegon-river|nantahala-river|neversink-river|norfork-river|north-platte-wyoming|north-umpqua-river|pecos-river-new-mexico|penns-creek|rapidan-river|rio-chama-new-mexico|rio-grande-colorado|rio-grande-new-mexico|river-gibbon|roaring-fork-river|ruby-river-montana|russian-river-alaska|salmon-river-idaho|san-juan-river|selway-river-idaho|slough-creek-yellowstone|snake-river-wyoming|south-fork-boise|south-fork-snake-river-idaho|south-holston-river|south-platte-river|spokane-river|spring-river-arkansas|st-joe-river-idaho|strawberry-river-utah|teton-river-idaho|toccoa-river-ga|truckee-river|truckee-river-nevada|tuckasegee-river|two-hearted-river|upper-sacramento-river|watauga-river-tennessee|weber-river-utah|white-river-arizona|white-river-arkansas|williamson-river-oregon|willowemoc-creek|wind-river-wyoming|yakima-river|yampa-river|yellow-breeches-creek,"Parachute BWO|BWO Sparkle Dun|Parachute BWO, RS2|RS2|Sparkle Dun BWO|CDC BWO|BWO Cripple|CDC Dun BWO|Parachute BWO, Sparkle Dun, RS2|Parachute BWO, RS2, WD-40|Parachute BWO, RS2, Sparkle Dun|RS2, Parachute BWO|CDC Emerger, RS2|Parachute BWO, CDC Emerger|CDC Emerger, Parachute BWO|Parachute BWO, CDC BWO|BWO Emerger|Griffiths Gnat|Zelon Midge|CDC Emerger|Parachute BWO, Sparkle Dun|CDC BWO Emerger",blue-dun|blue-winged-olive-comparadun|bwo-loop-wing-emerger|bwo-parachute|bwo-sparkle-dun|cdc-blue-winged-olive|cdc-emerger|rozas-pink-pheasant-tail|rs2|sparkle-dun|super-simple-pheasant-tail|surveyor,
Blue-winged Olive (Baetis),blue-winged-olive-baetis,/flies/hatch/blue-winged-olive-baetis,insect,2,17,yes,yes,,March|April|September|October|November|May,madison-river|provo-river,"Parachute BWO, RS2, Sparkle Dun|Parachute BWO, Pheasant Tail, Sparkle Dun|Parachute BWO, RS2, WD-40|Parachute BWO, RS2, Comparadun|Parachute BWO, RS2|Parachute BWO, RS2, Thorax BWO|Parachute BWO, RS2, Barr Emerger",barrs-emerger|bwo-loop-wing-emerger|bwo-parachute|bwo-sparkle-dun|cdc-pheasant-tail|cdc-pheasant-tail-pink|comparadun|jig-ptn|pheasant-tail|pheasant-tail-nymph|quasimodo-pheasant-tail|rozas-pink-pheasant-tail|rs2|soft-hackle-pheasant-tail|sparkle-dun|super-simple-pheasant-tail|surveyor,
blue-winged olives,blue-winged-olives,/flies/hatch/blue-winged-olives,insect,0,4,no,yes,no_river,,,,blue-dun|blue-winged-olive-comparadun|bwo-parachute|cdc-blue-winged-olive,
bottom-dwelling baitfish,bottom-dwelling-baitfish,/flies/hatch/bottom-dwelling-baitfish,forage,0,11,no,yes,no_river,,,,autumn-splendor|barely-legal|clouser-minnow-trout|kreelex|meat-whistle|muddler-minnow|olive-bugger|sculpzilla|slumpbuster|woolly-bugger|zonker,
Brown Drake,brown-drake,/flies/hatch/brown-drake,insect,5,3,yes,yes,,June,au-sable-river|boardman-river|brule-river-wisconsin|muskegon-river|two-hearted-river,"Brown Drake Paradrake, Brown Drake Spinner|Brown Drake Paradrake|Brown Drake Spinner",green-drake|march-brown|march-brown-wet,
BWO duns,bwo-duns,/flies/hatch/bwo-duns,insect,0,1,no,yes,no_river,,,,olive-thorax-dun,
BWO emergers,bwo-emergers,/flies/hatch/bwo-emergers,insect,0,7,no,yes,no_river,,,,barrs-emerger|bwo-loop-wing-emerger|cdc-emerger|rs2|snowshoe-baetis-emerger|snowshoe-emerger|tungsten-soft-hackle-hares-ear,
BWO nymphs,bwo-nymphs,/flies/hatch/bwo-nymphs,insect,0,3,no,yes,no_river,,,,frenchie|jig-ptn|pheasant-tail-nymph,
BWO spinners,bwo-spinners,/flies/hatch/bwo-spinners,insect,0,1,no,yes,no_river,,,,rusty-spinner,
BWOs,bwos,/flies/hatch/bwos,insect,0,4,no,yes,no_river,,,,comparadun|film-critic|parachute-adams|sparkle-dun,
