slug,name,destination_slug,destination_ok,additional_destinations,additional_dest_ok,gauge_status,gauge_site_ids,gauge_count,gauge_notes,silent_live_empty,flow_chart_empty_copy,hero_dek_quiet_claims,hatch_status,hatch_months,hatch_entries,hatch_insects,hatch_windows_implausible,hatch_patterns_unmatched,access_status,access_count,access_named,species_status,species_count,species_resolved,species_unresolved,description_chars,description_status,regs_status,verified_at,thumbnail_null,flow_type,difficulty,wading_type,difficulty_vs_water,species_vs_hatch,broken_links,broken_link_count,flies_for_href,plan_href,dest_href,hatch_page_links_emitted
animas-river,Animas River,colorado,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,5,10,Salmonfly|Golden Stonefly|PMD|Caddis|Trico|Blue-winged Olive|October Caddis|Midge,,Sofa Pillow|Yellow Stimulator|PMD Parachute|Parachute BWO|Orange Stimulator|Mercury Midge,real,4,4,real,4,brown-trout|rainbow-trout|cutthroat-trout|mountain-whitefish,,2680,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/animas-river,/plan/animas-river,/destinations/colorado,no
arkansas-river-colorado,Arkansas River (Colorado),colorado,yes,,yes,mapped,07091200|07094500|07109500,3,,no,n/a,,thin,3,6,Salmonfly|Golden Stonefly|Caddis|Pale Morning Dun|Blue-winged Olive|Hoppers,,"Chubby Chernobyl, Pat's Rubber Legs|Yellow Stimulator, Golden Stone Dry|Elk Hair Caddis, Goddard Caddis|PMD Sparkle Dun, Pheasant Tail|Parachute BWO, RS2|Chubby Chernobyl, Dave's Hopper",real,3,3,real,2,brown-trout|rainbow-trout,,1568,real,generic_check_agency,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/arkansas-river-colorado,/plan/arkansas-river-colorado,/destinations/colorado,no
au-sable-river,Au Sable River,michigan,yes,,yes,mapped,04136000|04135700|04136500,3,,no,n/a,,thin,3,6,Hendrickson|Caddis|Hex (Hexagenia limbata)|Brown Drake|Trico|Terrestrials,,"Hendrickson Dry, Light Hendrickson, Hendrickson Emerger|Elk Hair Caddis, X-Caddis|Hex Dry, Hex Wiggle Nymph, Roberts Yellow Drake|Brown Drake Paradrake, Brown Drake Spinner|Trico Spinner, CDC Trico|Foam Beetle, Fur Ant, Small Hopper",real,3,3,real,3,brown-trout|brook-trout|rainbow-trout,,1624,real,generic_check_agency,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/au-sable-river,/plan/au-sable-river,/destinations/michigan,no
ausable-river-new-york,Ausable River,new-york,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,7,18,Blue-winged Olive|Early Black Stonefly|Hendrickson|March Brown|Sulphur|Light Cahill|Tan Caddis|Green Drake|Isonychia|Trico,Hendrickson@September,Parachute BWO|Black Stonefly|Catskill Hendrickson|Sulphur Comparadun|Catskill Light Cahill|Comparadun Green Drake|Isonychia Comparadun|Slate Drake|Parachute Hendrickson,real,5,5,real,3,brown-trout|rainbow-trout|brook-trout,,2353,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/ausable-river-new-york,/plan/ausable-river-new-york,/destinations/new-york,no
batten-kill-vermont,Batten Kill,vermont,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,4,4,real,2,brown-trout|brook-trout,,1604,real,specific,column_missing,no,freestone,advanced,wade,ok,trout_river_hatch_stub,,0,/flies/for/batten-kill-vermont,/plan/batten-kill-vermont,/destinations/vermont,no
beaverhead-river-montana,Beaverhead River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,25,Midge|Scud|Blue-winged Olive|Caddis|Pale Morning Dun|Yellow Sally|Trico|Crane Fly|Grasshopper,,Pink Scud|Mercury Midge|Parachute BWO|Griffiths Gnat|PMD Sparkle Dun|Yellow Sally Dry|PMD Cripple|Parachute Crane Fly|Dave Hopper,real,4,4,real,2,brown-trout|rainbow-trout,,2915,real,specific,column_missing,no,tailwater,advanced,both,ok,ok,,0,/flies/for/beaverhead-river-montana,/plan/beaverhead-river-montana,/destinations/montana,no
beaverkill-river,Beaverkill River,new-york,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,7,17,Hendrickson|Blue-winged Olive|Sulphur|March Brown|Tan Caddis|Light Cahill|Green Drake|Trico|Isonychia,,Catskill Hendrickson|Parachute BWO|Catskill Sulphur|March Brown Spider|Catskill Light Cahill|Comparadun Green Drake|Sparkle Dun BWO|Isonychia Comparadun|Slate Drake,real,5,5,real,2,brown-trout|rainbow-trout,,2944,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/beaverkill-river,/plan/beaverkill-river,/destinations/new-york,no
big-cottonwood-creek,Big Cottonwood Creek,utah,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,2,2,real,2,brown-trout|rainbow-trout,,879,real,generic_check_agency,column_missing,no,freestone,intermediate,wade,ok,trout_river_hatch_stub,,0,/flies/for/big-cottonwood-creek,/plan/big-cottonwood-creek,/destinations/utah,no
big-gunpowder-falls-river,Big Gunpowder Falls River,maryland,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,4,4,real,3,brown-trout|rainbow-trout|brook-trout,,1527,real,specific,column_missing,no,tailwater,advanced,wade,ok,trout_river_hatch_stub,,0,/flies/for/big-gunpowder-falls-river,/plan/big-gunpowder-falls-river,/destinations/maryland,no
big-hole-river,Big Hole River,montana,yes,,yes,mapped,06024450|06025250|06025500,3,,no,n/a,,stub,0,0,,,,real,2,2,real,4,brown-trout|rainbow-trout|brook-trout|arctic-grayling,,662,real,specific,column_missing,yes,freestone,intermediate,both,ok,trout_river_hatch_stub,,0,/flies/for/big-hole-river,/plan/big-hole-river,/destinations/montana,no
