slug,title,type,indexable,in_sitemap,in_listing_ui,claimed_count_bucket,hero,created_at,destination_id
animas-river,Animas River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
arkansas-river-colorado,Arkansas River (Colorado),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-colorado
asay-creek,Asay Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.172827+00,dest-utah
au-gres-river-east-branch,Au Gres River East Branch,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:58:03.336444+00,dest-michigan
au-sable-river,Au Sable River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-michigan
ausable-river-new-york,Ausable River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:44:54.936085+00,dest-new-york
baldwin-river,Baldwin River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:58:42.819247+00,dest-michigan
barren-fork-creek,Barren Fork Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:58:44.23931+00,dest-missouri
batten-kill-vermont,Batten Kill,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:49:14.831528+00,dest-vermont
bear-creek-manistee,Bear Creek (Manistee),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:58:59.993535+00,dest-michigan
beaverhead-river-montana,Beaverhead River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:20:27.27983+00,dest-montana
