cluster_key,survivor_id,survivor_name,old_id,old_name,brand,category,weight,extracted_color,extracted_sizes,recipe_refs,inventory_refs
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",070d9ae6-5185-4f79-a2ae-32e7f8ca80c2,"Ultra Thread 70 Yellow",UTC,thread,"70 denier","Yellow","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",18f728f0-26fb-4b9b-a2c4-96780922e596,"Ultra Thread 70 Red",UTC,thread,"70 denier","Red","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",2364b00f-66b5-49da-82ae-6c4a30aa9558,"Ultra Thread 70 Burnt Orange",UTC,thread,"70 denier","burnt orange","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",30a3bf99-9af0-4194-b855-33d0c71d711f,"Ultra Thread 70 Dark Gray",UTC,thread,"70 denier","dark gray","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",35d23b01-3209-4a29-8af6-97f529d99d31,"Ultra Thread 70 Wood Duck",UTC,thread,"70 denier","Wood Duck","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",3a0ec304-4240-4684-8d9f-5eb04c05c8a4,"Ultra Thread 70 Gray",UTC,thread,"70 denier","Gray","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",3e3273fa-f958-48bd-9d6f-d06403531b4a,"Ultra Thread 70 Fl. Shell Pink",UTC,thread,"70 denier","fl. shell pink","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",3f98e0e2-8f4d-4edb-b17a-3c141e2e879e,"Ultra Thread 70 Dark Brown",UTC,thread,"70 denier","dark brown","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",407f09d7-15d5-4881-9f38-fa34b4c17b70,"Ultra Thread 70 Fl. Pink",UTC,thread,"70 denier","fl. pink","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",42869338-4c2b-4118-9828-9be2cae5fd1d,"Ultra Thread 70 Gray Brown",UTC,thread,"70 denier","gray brown","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",4cb69d4e-16ac-4f59-81ba-32ef34489ab7,"Ultra Thread 70 Blue Dun",UTC,thread,"70 denier","blue dun","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",52053dca-9c4c-4e4a-9a64-9917e730ae85,"Ultra Thread 70 Olive Green",UTC,thread,"70 denier","olive green","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",5885b122-e075-400f-bf2f-1ce6559bf4b4,"Ultra Thread 70 Brown Olive",UTC,thread,"70 denier","brown olive","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",59871a27-a495-4fc2-9a82-05f1dfe17444,"Ultra Thread 70 Fl. White",UTC,thread,"70 denier","fl. white","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",59fb4acc-4d38-4aa0-a157-ea2652389665,"Ultra Thread 70 Watery Olive",UTC,thread,"70 denier","watery olive","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",5a8f6e67-d8a5-474e-8e4c-400e8af9b46c,"Ultra Thread 70 Fluorescent Pink",UTC,thread,"70 denier","Fluorescent Pink","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",6138e3b8-1fb0-4a87-b3b1-510bc43754da,"Ultra Thread 70 Black",UTC,thread,"70 denier","Black","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",68dab9f9-5a25-4ed7-b31c-cff13e63a0e1,"Ultra Thread 70 Hot Orange",UTC,thread,"70 denier","Hot Orange","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",69ae3ec1-9d7a-4efa-bd29-5ac047021072,"Ultra Thread 70 Dark Olive",UTC,thread,"70 denier","dark olive","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",7b30d02c-d8bf-4d5d-9da2-b21cb6efd71f,"Ultra Thread 70 Fl. Orange",UTC,thread,"70 denier","fl. orange","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",7d75f2ab-b60f-424a-b8d8-445d21ec9621,"Ultra Thread 70 Yellow Olive",UTC,thread,"70 denier","yellow olive","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",8234e062-4ce9-4b9f-bc6e-9d9f4eb2e81d,"Ultra Thread 70 Hopper Yellow",UTC,thread,"70 denier","hopper yellow","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",84c41f3c-a567-4697-95d1-35a8bb6d4e3b,"Ultra Thread 70 Tan",UTC,thread,"70 denier","Tan","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",878eaf7d-2585-450a-9332-24a68711e77c,"Ultra Thread 70 Rusty Brown",UTC,thread,"70 denier","Rusty Brown","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",898aa393-49e3-4661-828e-c33da9c8aa98,"Ultra Thread 70 Peacock Blue",UTC,thread,"70 denier","peacock blue","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",8cd0b580-8003-43d3-822d-d536829a422d,"Ultra Thread 70 Purple",UTC,thread,"70 denier","purple","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",9b750bc4-4952-47ea-b179-c7b6b5ab3fce,"Ultra Thread 70 Fluorescent Chartreuse",UTC,thread,"70 denier","Fluorescent Chartreuse","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",9f36db49-6989-4110-aca4-916cd83a47b7,"Ultra Thread 70 Brown",UTC,thread,"70 denier","Brown","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",a0e147ad-f040-4867-b8d2-ade3c4a00a59,"Ultra Thread 70 Cream",UTC,thread,"70 denier","Cream","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",a8356ad4-b47e-4c9e-8ae3-51c81478dfee,"Ultra Thread 70 Fl. Fire Orange",UTC,thread,"70 denier","fl. fire orange","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",ae815d66-6f03-42d2-9a0a-15adafac32a4,"Ultra Thread 70 Fl. Chartreuse",UTC,thread,"70 denier","fl. chartreuse","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",b20297cd-d1c5-46a3-b636-a11fb98ee2b7,"Ultra Thread 70 Camel",UTC,thread,"70 denier","Camel","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70 Chartreuse",UTC,thread,"70 denier","chartreuse","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",d3011ba9-6652-4f6b-9c5d-d0fa72ec09ef,"Ultra Thread 70 Fl. Yellow",UTC,thread,"70 denier","fl. yellow","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",dc7e7d27-d412-4bd1-b884-237dad388342,"Ultra Thread 70 Olive",UTC,thread,"70 denier","Olive","70 denier",0,0
"thread||utc||ultra thread 70||70 denier",bcebe462-7942-4f65-bdd1-3afb328e3231,"Ultra Thread 70",e50776e0-b356-44c2-88a3-a623c29c8ef9,"Ultra Thread 70 Fl. Green",UTC,thread,"70 denier","fl. green","70 denier",0,0
